id,object_name,indicator_value
10,Ивановская область,291.0
10,Иркутская область,702.0
10,Кабардино-Балкарская Республика,193.0
10,Калининградская область,273.0
10,Калужская область,298.0
10,Камчатский край,86.0
10,Карачаево-Черкесская Республика,121.0
10,Кемеровская область,781.0
10,Кировская область,401.0
10,Костромская область,192.0
10,Краснодарский край,1604.0
10,Красноярский край,803.0
10,Курганская область,267.0
10,Курская область,362.0
10,Ленинградская область,476.0
10,Липецкая область,359.0
10,Магаданская область,41.0
10,Москва,3044.0
10,Московская область,1973.0
10,Мурманская область,226.0
10,Ненецкий автономный округ,14.0
10,Нижегородская область,965.0
10,Новгородская область,184.0
10,Новосибирская область,798.0
10,Омская область,554.0
10,Оренбургская область,573.0
10,Орловская область,251.0
10,Пензенская область,408.0
10,Пермский край,748.0
10,Приморский край,491.0
10,Псковская область,189.0
10,Республика Адыгея,117.0
10,Республика Алтай,58.0
10,Республика Башкортостан,1138.0
10,Республика Бурятия,248.0
10,Республика Дагестан,686.0
10,Республика Ингушетия,116.0
10,Республика Калмыкия,72.0
10,Республика Карелия,222.0
10,Республика Коми,275.0
10,Республика Крым,546.0
10,Республика Марий Эл,202.0
10,Республика Мордовия,236.0
10,Республика Саха (Якутия),273.0
10,Республика Северная Осетия — Алания,183.0
10,Республика Татарстан,1105.0
10,Республика Тыва,82.0
10,Республика Хакасия,144.0
10,Ростовская область,1174.0
10,Рязанская область,350.0
10,Самарская область,908.0
10,Санкт-Петербург,1455.0
10,Саратовская область,674.0
10,Сахалинская область,155.0
10,Свердловская область,1272.0
10,Севастополь,114.0
10,Смоленская область,275.0
10,Ставропольский край,694.0
10,Тамбовская область,318.0
10,Тверская область,380.0
10,Томская область,286.0
10,Тульская область,495.0
10,Тюменская область (без автономных округов),413.0
10,Тюменская область (с автономными округами),1034.0
10,Удмуртская Республика,441.0
10,Ульяновская область,386.0
10,Хабаровский край,345.0
10,Ханты-Мансийский автономный округ — Югра,473.0
10,Челябинская область,996.0
10,Чеченская Республика,443.0
10,Чувашская Республика,353.0
10,Чукотский автономный округ,15.0
10,Ямало-Ненецкий автономный округ,149.0
10,Ярославская область,376.0
11,Алтайский край,0.0
11,Амурская область,0.0
11,Архангельская область (без автономного округа),1.0
11,Архангельская область (с автономным округом),1.0
11,Астраханская область,8.0
11,Белгородская область,1.0
11,Брянская область,1.0
11,Владимирская область,15.0
11,Волгоградская область,1.0
11,Вологодская область,0.0
11,Воронежская область,5.0
11,Еврейская автономная область,0.0
